Code,Indicator Name,Long definition,Source
WP_time_11.1,"Main mode of withdrawal: ATM (% with an account, age 15+) [ts]","Denotes the percentage of respondents with an account at a bank or another type of financial institution who report usually obtaining cash from their account at an automated teller machine (ATM) (see year-specific definitions for details) (% with an account, age 15+). [ts: data are available for multiple waves].","Demirguc-Kunt et al., 2015"
WP11630.1.1,"Main mode of withdrawal: ATM (% with an account, age 15+) [w1]","Denotes the percentage of respondents with an account at a formal financial institution who report utilizing an automated teller machine (ATM) as their usual mode of access to get cash (paper or coins) from their account(s) (% age 15+, with an account). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP15160.1.1,"Main mode of withdrawal: ATM (% with an account, age 15+) [w2]","Denotes the percentage of respondents with an account at a bank or another type of financial institution who report usually obtaining cash from their account at an automated teller machine (ATM) (% with an account, age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP15163_4.1,Mobile account (% age 15+) [w2],"Denotes the percentage of respondents who report personally using a mobile phone to pay bills or to send or receive money through a GSM Association (GSMA) Mobile Money for the Unbanked (MMU) service in the past 12 months; or receiving wages, government transfers, or payments for agricultural products through a mobile phone in the past 12 months (% age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP15163_4.8,"Mobile account, income, poorest 40% (% ages 15+) [w2]","Denotes the percentage of respondents who report personally using a mobile phone to pay bills or to send or receive money through a GSM Association (GSMA) Mobile Money for the Unbanked (MMU) service in the past 12 months; or receiving wages, government transfers, or payments for agricultural products through a mobile phone in the past 12 months (income, poorest 40%, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP11672.8,"Mobile phone used to pay bills, income, poorest 40% (% ages 15+) [w1]","Denotes the percentage of respondents who report using a mobile phone to pay bills in the past 12 months (income, poorest 40%, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP15163_4.4,"Mobile account, young adults (% ages 15-24) [w2]","Denotes the percentage of respondents who report personally using a mobile phone to pay bills or to send or receive money through a GSM Association (GSMA) Mobile Money for the Unbanked (MMU) service in the past 12 months; or receiving wages, government transfers, or payments for agricultural products through a mobile phone in the past 12 months (% ages 15-24). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP11672.1,Mobile phone used to pay bills (% age 15+) [w1],Denotes the percentage of respondents who report using a mobile phone to pay bills in the past 12 months (% age 15+). [w1: data are available for wave 1].,"Demirguc-Kunt and Klapper, 2012"
WP11674.1,Mobile phone used to receive money (% age 15+) [w1],Denotes the percentage of respondents who report using a mobile phone to receive money in the past 12 months (% age 15+). [w1: data are available for wave 1].,"Demirguc-Kunt and Klapper, 2012"
WP11674.8,"Mobile phone used to receive money, income, poorest 40% (% ages 15+) [w1]","Denotes the percentage of respondents who report using a mobile phone to receive money in the past 12 months (income, poorest 40%, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11673.1,Mobile phone used to send money (% age 15+) [w1],Denotes the percentage of respondents who report using a mobile phone to send money in the past 12 months (% age 15+). [w1: data are available for wave 1].,"Demirguc-Kunt and Klapper, 2012"
WP11674.4,"Mobile phone used to receive money, young adults (% ages 15-24) [w1]",Denotes the percentage of respondents who report using a mobile phone to receive money in the past 12 months (% ages 15-24). [w1: data are available for wave 1].,"Demirguc-Kunt and Klapper, 2012"
WP11673.8,"Mobile phone used to send money, income, poorest 40% (% ages 15+) [w1]","Denotes the percentage of respondents who report using a mobile phone to send money in the past 12 months (income, poorest 40%, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP14934.1,Received domestic remittances in the past year (% age 15+) [w2],Denotes the percentage of respondents who report personally receiving any money in the past 12 months from a relative or friend living in a different area of their country. This includes any money received in person (% age 15+). [w2: data are available for wave 2].,"Demirguc-Kunt et al., 2015"
WP14934.8,"Received domestic remittances in the past year, income, poorest 40% (% ages 15+) [w2]","Denotes the percentage of respondents who report personally receiving any money in the past 12 months from a relative or friend living in a different area of their country. This includes any money received in person (income, poorest 40%, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14936.1,"Received domestic remittances: in person and in cash (% recipients, age 15+) [w2]","Denotes, among respondents reporting personally receiving any money in the past 12 months from a relative or friend living in a different area of their country, the percentage who received it by having cash handed to them by a relative or friend or by someone else they know (% recipients, age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14937.1,"Received domestic remittances: through a financial institution (% recipients, age 15+) [w2]","Denotes, among respondents reporting personally receiving any money in the past 12 months from a relative or friend living in a different area of their country, the percentage who received it through a bank or another type of financial institution. This includes at a branch, at an ATM, or through direct deposit into an account, using their own account or someone else's (% recipients, age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14938.1,"Received domestic remittances: through a mobile phone (% recipients, age 15+) [w2]","Denotes, among respondents reporting personally receiving any money in the past 12 months from a relative or friend living in a different area of their country, the percentage who received it through a mobile phone, using their own account or someone else's (% recipients, age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14939.1,"Received domestic remittances: through a money transfer service (% recipients, age 15+) [w2]","Denotes, among respondents reporting personally receiving any money in the past 12 months from a relative or friend living in a different area of their country, the percentage who received it through a money transfer operator (% recipients, age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14946.1,"Received wages: in cash (% wage recipients, age 15+) [w2]","Denotes, among respondents reporting receiving any money from an employer in the past 12 months in the form of a salary or wages for doing work, the percentage who received this money directly in cash (% wage recipients, age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14949.1,"Received wages: through a mobile phone (% wage recipients, age 15+) [w2]","Denotes, among respondents reporting receiving any money from an employer in the past 12 months in the form of a salary or wages for doing work, the percentage who received this money through a mobile phone (% wage recipients, age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14950.1.1,"Received wages: withdraw all right away (% cashless wage recipients, age 15+) [w2]","Denotes, among respondents using an account at a bank or another type of financial institution, a card, or a mobile phone to receive wages in the past 12 months, the percentage who report withdrawing or transferring all the money out of the account right away (% cashless wage recipients, age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14950.2.1,"Received wages: withdraw over time as needed (% cashless wage recipients, age 15+) [w2]","Denotes, among respondents using an account at a bank or another type of financial institution, a card, or a mobile phone to receive wages in the past 12 months, the percentage who report withdrawing or transferring the money over time as needed (% cashless wage recipients, age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14947_2.1,"Received wages: into an account at a financial institution (% wage recipients, age 15+) [w2]","Denotes, among respondents reporting receiving any money from an employer in the past 12 months in the form of a salary or wages for doing work, the percentage who received this money directly into an account at a bank or another type of financial institution or into a card (% wage recipients, age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP15176.1.1,"Received wages: into a pre-existing account (% cashless wage recipients, age 15+) [w2]","Denotes, among respondents using an account at a bank or another type of financial institution, a card, or a mobile phone to receive wages in the past 12 months, the percentage who report having that particular account before they began receiving payments from an employer (% cashless wage recipients, age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP15176.2.1,"Received wages: into a new but not first account (% cashless wage recipients, age 15+) [w2]","Denotes, among respondents using an account at a bank or another type of financial institution, a card, or a mobile phone to receive wages in the past 12 months, the percentage who report having an account before, but opening that particular account to receive payments from an employer (% cashless wage recipients, age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP_time_04.8,"Saved at a financial institution, income, poorest 40% (% ages 15+) [ts]","Denotes the percentage of respondents who report saving or setting aside any money at a bank or another type of financial institution in the past 12 months (see year-specific definitions for details) (income, poorest 40%, % age 15+). [ts: data are available for multiple waves].","Demirguc-Kunt et al., 2015"
WP15165.1,Saved at a financial institution (% age 15+) [w2],Denotes the percentage of respondents who report saving or setting aside any money in the past 12 months by using an account at a bank or another type of financial institution (% age 15+). [w2: data are available for wave 2].,"Demirguc-Kunt et al., 2015"
WP11648.1,Saved at a financial institution (% age 15+) [w1],"Denotes the percentage of respondents who report saving or setting aside any money by using an account at a formal financial institution such as a bank, credit union, microfinance institution, or cooperative in the past 12 months (% age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP_time_04.1,Saved at a financial institution (% age 15+) [ts],Denotes the percentage of respondents who report saving or setting aside any money at a bank or another type of financial institution in the past 12 months (see year-specific definitions for details) (% age 15+). [ts: data are available for multiple waves].,"Demirguc-Kunt et al., 2015"
WP14928.1,Sent domestic remittances in the past year (% age 15+) [w2],Denotes the percentage of respondents who report personally giving or sending any of their money in the past 12 months to a relative or friend living in a different area of their country. This can be money they brought themselves or sent in some other way (% age 15+). [w2: data are available for wave 2].,"Demirguc-Kunt et al., 2015"
WP14928.8,"Sent domestic remittances in the past year, income, poorest 40% (% ages 15+) [w2]","Denotes the percentage of respondents who report personally giving or sending any of their money in the past 12 months to a relative or friend living in a different area of their country. This can be money they brought themselves or sent in some other way (income, poorest 40%, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP15168.1,"Sent domestic remittances: in person and in cash (% senders, age 15+) [w2]","Denotes, among respondents reporting personally giving or sending any of their money in the past 12 months to a relative or friend living in a different area of their country, the percentage who did so by handing cash to the recipient or sending it through someone they know (% senders, age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP15169.1,"Sent domestic remittances: through a financial institution (% senders, age 15+) [w2]","Denotes, among respondents reporting personally giving or sending any of their money in the past 12 months to a relative or friend living in a different area of their country, the percentage who sent it through a bank or another type of financial institution. This includes at a branch, at an ATM, or through direct deposit into an account, using their own account or someone else's (% senders, age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP15170.1,"Sent domestic remittances: through a mobile phone (% senders, age 15+) [w2]","Denotes, among respondents reporting personally giving or sending any of their money in the past 12 months to a relative or friend living in a different area of their country, the percentage who sent it through a mobile phone, using their own account or someone else's (% senders, age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP15171.1,"Sent domestic remittances: through a money transfer operator (% senders, age 15+) [w2]","Denotes, among respondents reporting personally giving or sending any of their money in the past 12 months to a relative or friend living in a different area of their country, the percentage who sent it through a money transfer operator (% senders, age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
IC.LGL.CRED.XQ,Strength of legal rights index (0=weak to 12=strong),"Strength of legal rights index measures the degree to which collateral and bankruptcy laws protect the rights of borrowers and lenders and thus facilitate lending. The index ranges from 0 to 12, with higher scores indicating that these laws are better designed to expand access to credit.","World Bank, Doing Business project (http://www.doingbusiness.org/)."
WP15172_4.1,Used a mobile phone to pay for school fees (% age 15+) [w2],Denotes the percentage of respondents who report making a payment for school fees through a mobile phone in the past 12 months (% age 15+). [w2: data are available for wave 2].,"Demirguc-Kunt et al., 2015"
WP15172_4.8,"Used a mobile phone to pay for school fees, income, poorest 40% (% ages 15+) [w2]","Denotes the percentage of respondents who report making a payment for school fees through a mobile phone in the past 12 months (income, poorest 40%, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14940_4.1,Used a mobile phone to pay utility bills (% age 15+) [w2],"Denotes the percentage of respondents who report making a payment in the past 12 months for water, electricity, or trash collection through a mobile phone (% age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14940_4.8,"Used a mobile phone to pay utility bills, income, poorest 40% (% ages 15+) [w2]","Denotes the percentage of respondents who report making a payment in the past 12 months for water, electricity, or trash collection through a mobile phone (income, poorest 40%, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP11625.1,Used an account at a financial institution for business purposes (% age 15+) [w1],Denotes the percentage of respondents who report using their accounts at a formal financial institution for business purposes only or for both business purposes and personal transactions (% age 15+). [w1: data are available for wave 1].,"Demirguc-Kunt and Klapper, 2012"
WP11625.8,"Used an account at a financial institution for business purposes, income, poorest 40% (% ages 15+) [w1]","Denotes the percentage of respondents who report using their accounts at a formal financial institution for business purposes only or for both business purposes and personal transactions (income, poorest 40%, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP15172_3.1,Used an account at a financial institution to pay for school fees (% age 15+) [w2],Denotes the percentage of respondents who report making a payment for school fees directly from an account at a bank or another type of financial institution in the past 12 months (% age 15+). [w2: data are available for wave 2].,"Demirguc-Kunt et al., 2015"
WP15172_3.8,"Used an account at a financial institution to pay for school fees, income, poorest 40% (% ages 15+) [w2]","Denotes the percentage of respondents who report making a payment for school fees directly from an account at a bank or another type of financial institution in the past 12 months (income, poorest 40%, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14940_3.1,Used an account at a financial institution to pay utility bills (% age 15+) [w2],"Denotes the percentage of respondents who report making a payment in the past 12 months for water, electricity, or trash collection directly from an account at a bank or another type of financial institution (% age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14940_3.8,"Used an account at a financial institution to pay utility bills, income, poorest 40% (% ages 15+) [w2]","Denotes the percentage of respondents who report making a payment in the past 12 months for water, electricity, or trash collection directly from an account at a bank or another type of financial institution (income, poorest 40%, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP11636.1,Used an account at a financial institution to receive remittances (% age 15+) [w1],Denotes the percentage of respondents who report using their accounts at a formal financial institution to receive money from family members living elsewhere in the past 12 months (% age 15+). [w1: data are available for wave 1].,"Demirguc-Kunt and Klapper, 2012"
WP11636.8,"Used an account at a financial institution to receive remittances, income, poorest 40% (% ages 15+) [w1]","Denotes the percentage of respondents who report using their accounts at a formal financial institution to receive money from family members living elsewhere in the past 12 months (income, poorest 40%, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11637.1,Used an account at a financial institution to send remittances (% age 15+) [w1],Denotes the percentage of respondents who report using their accounts at a formal financial institution to send money to family members living elsewhere in the past 12 months (% age 15+). [w1: data are available for wave 1].,"Demirguc-Kunt and Klapper, 2012"
WP11637.8,"Used an account at a financial institution to send remittances, income, poorest 40% (% ages 15+) [w1]","Denotes the percentage of respondents who report using their accounts at a formal financial institution to send money to family members living elsewhere in the past 12 months (income, poorest 40%, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP15161_1.1,Used an account to make a transaction through a mobile phone (% age 15+) [w2],"Denotes the percentage of respondents who report making a transaction with money from their account at a bank or another type of financial institution using a mobile phone in the past 12 months. This can include using a mobile phone to make payments, to make purchases, or to send or receive money (% age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP15161_1.8,"Used an account to make a transaction through a mobile phone, income, poorest 40% (% ages 15+) [w2]","Denotes the percentage of respondents who report making a transaction with money from their account at a bank or another type of financial institution using a mobile phone in the past 12 months. This can include using a mobile phone to make payments, to make purchases, or to send or receive money (income, poorest 40%, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP11632.1,Used checks to make payments (% age 15+) [w1],Denotes the percentage of respondents who used checks in the past 12 months to make payments on bills or to buy things using money from their accounts (% age 15+). [w1: data are available for wave 1].,"Demirguc-Kunt and Klapper, 2012"
WP11632.8,"Used checks to make payments, income, poorest 40% (% ages 15+) [w1]","Denotes the percentage of respondents who used checks in the past 12 months to make payments on bills or to buy things using money from their accounts (income, poorest 40%, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11633.1,Used electronic payments to make payments (% age 15+) [w1],Denotes the percentage of respondents who used electronic payments (payments that one makes or that are made automatically including wire transfers or payments made online) in the past 12 months to make payments on bills or to buy things using money from their accounts (% age 15+). [w1: data are available for wave 1].,"Demirguc-Kunt and Klapper, 2012"
WP11633.8,"Used electronic payments to make payments, income, poorest 40% (% ages 15+) [w1]","Denotes the percentage of respondents who used electronic payments (payments that one makes or that are made automatically including wire transfers or payments made online) in the past 12 months to make payments on bills or to buy things using money from their accounts (income, poorest 40%, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP14910.1,Used the Internet to pay bills or buy things (% age 15+) [w2],Denotes the percentage of respondents who report paying bills or making purchases online using the Internet in the past 12 months (% age 15+). [w2: data are available for wave 2].,"Demirguc-Kunt et al., 2015"
WP14910.8,"Used the Internet to pay bills or buy things, income, poorest 40% (% ages 15+) [w2]","Denotes the percentage of respondents who report paying bills or making purchases online using the Internet in the past 12 months (income, poorest 40%, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP15158.1,"Withdrawal in the past year (% with an account, age 15+) [w2]","Denotes the percentage of respondents with an account at a bank or another type of financial institution who report one or more withdrawals from their account in the past 12 months. This includes cash or electronic withdrawals or any time money is removed from the account by the respondent, an employer, or another person or institution (% with an account, age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
